date,time (UTC+1),title,artists,description,venue,ticket_type,venue_type,is_streaming,ticket_price_gbp,interested,categories,short_url,long_url
2021-10-08,11:00,01. A Cumbrian Idyll,"Gavin Plumley
Jess Dandy
Martin Roscoe
James Rebanks","To start the Festival, we put a best-selling author-shepherd, a brilliant young singer and a world-renowned pianist in a room to talk about if and where landscape, music, lambing and poetry overlap. Each with roots in Cumbria, these three artists ask what we mean by ‘pastoral’ and explore how a landscape has shaped their own creativity, with music and poetry by Vaughan Williams, Wor...",Jacqueline du Pré Music Building,General Admission,In-person & Streaming (Digital Concert Hall),1,15,0,study-event,/event/1261,https://www.oxfordlieder.co.uk/event/1261
2021-10-08,11:00,01. A Cumbrian Idyll,"Gavin Plumley
Jess Dandy
Martin Roscoe
James Rebanks","To start the Festival, we put a best-selling author-shepherd, a brilliant young singer and a world-renowned pianist in a room to talk about if and where landscape, music, lambing and poetry overlap. Each with roots in Cumbria, these three artists ask what we mean by ‘pastoral’ and explore how a landscape has shaped their own creativity, with music and poetry by Vaughan Williams, Wor...",Jacqueline du Pré Music Building,General Admission,In-person only,0,12,0,study-event,/event/1261,https://www.oxfordlieder.co.uk/event/1261
2021-10-08,11:00,01. A Cumbrian Idyll,"Gavin Plumley
Jess Dandy
Martin Roscoe
James Rebanks","To start the Festival, we put a best-selling author-shepherd, a brilliant young singer and a world-renowned pianist in a room to talk about if and where landscape, music, lambing and poetry overlap. Each with roots in Cumbria, these three artists ask what we mean by ‘pastoral’ and explore how a landscape has shaped their own creativity, with music and poetry by Vaughan Williams, Wor...",Jacqueline du Pré Music Building,Online Streaming Access,Digital Concert Hall - Live stream only,1,5,0,study-event,/event/1261,https://www.oxfordlieder.co.uk/event/1261
2021-10-08,13:00,02. The Miller’s Daughter,"Simon Lepper
Simon Bode","1820s Vienna might have been a metropolis of the time but it was a small city by today’s standards and Franz Schubert could walk easily into the hills with their woods and babbling brooks. Nature is everywhere in Schubert’s songs, and in his masterful song cycle 
Die schöne Müllerin, water and the colour green are as much lead characters as the love-struck young...",Saint John the Evangelist,Seating Area A,In-person & Streaming (Digital Concert Hall),1,23,0,lunchtime,/event/1260,https://www.oxfordlieder.co.uk/event/1260
2021-10-08,13:00,02. The Miller’s Daughter,"Simon Lepper
Simon Bode","1820s Vienna might have been a metropolis of the time but it was a small city by today’s standards and Franz Schubert could walk easily into the hills with their woods and babbling brooks. Nature is everywhere in Schubert’s songs, and in his masterful song cycle 
Die schöne Müllerin, water and the colour green are as much lead characters as the love-struck young...",Saint John the Evangelist,Seating Area A,In-person only,0,20,0,lunchtime,/event/1260,https://www.oxfordlieder.co.uk/event/1260
2021-10-08,13:00,02. The Miller’s Daughter,"Simon Lepper
Simon Bode","1820s Vienna might have been a metropolis of the time but it was a small city by today’s standards and Franz Schubert could walk easily into the hills with their woods and babbling brooks. Nature is everywhere in Schubert’s songs, and in his masterful song cycle 
Die schöne Müllerin, water and the colour green are as much lead characters as the love-struck young...",Saint John the Evangelist,Seating Area B,In-person & Streaming (Digital Concert Hall),1,15,0,lunchtime,/event/1260,https://www.oxfordlieder.co.uk/event/1260
2021-10-08,13:00,02. The Miller’s Daughter,"Simon Lepper
Simon Bode","1820s Vienna might have been a metropolis of the time but it was a small city by today’s standards and Franz Schubert could walk easily into the hills with their woods and babbling brooks. Nature is everywhere in Schubert’s songs, and in his masterful song cycle 
Die schöne Müllerin, water and the colour green are as much lead characters as the love-struck young...",Saint John the Evangelist,Seating Area B,In-person only,0,12,0,lunchtime,/event/1260,https://www.oxfordlieder.co.uk/event/1260
2021-10-08,13:00,02. The Miller’s Daughter,"Simon Lepper
Simon Bode","1820s Vienna might have been a metropolis of the time but it was a small city by today’s standards and Franz Schubert could walk easily into the hills with their woods and babbling brooks. Nature is everywhere in Schubert’s songs, and in his masterful song cycle 
Die schöne Müllerin, water and the colour green are as much lead characters as the love-struck young...",Saint John the Evangelist,Online Streaming Access,Digital Concert Hall - Live stream only,1,8,0,lunchtime,/event/1260,https://www.oxfordlieder.co.uk/event/1260
2021-10-08,13:00,02. The Miller’s Daughter,"Simon Lepper
Simon Bode","1820s Vienna might have been a metropolis of the time but it was a small city by today’s standards and Franz Schubert could walk easily into the hills with their woods and babbling brooks. Nature is everywhere in Schubert’s songs, and in his masterful song cycle 
Die schöne Müllerin, water and the colour green are as much lead characters as the love-struck young...",Saint John the Evangelist,Online Streaming Access,Under 35s: Digital Concert Hall - Live stream only,1,5,0,lunchtime,/event/1260,https://www.oxfordlieder.co.uk/event/1260
2021-10-08,15:30,03. Gurney's Gloucestershire,"Anna Cavaliero
Kate Kennedy
Natalie Burch","Ahead of the 5.45pm performance of To His Love, Kate Kennedy, author of the newly-published Dweller in Shadows: A Life of Ivor Gurney, delves into the profound influence of the Gloucestershire landscape on the poetry and music of Ivor Gurney, with live performances illustrating her talk given by soprano Anna Cavaliero and pianist Natalie Burch.
PRACTICAL INFORMATION
This event...",Jacqueline du Pré Music Building,General Admission,In-person & Streaming (Digital Concert Hall),1,11,0,study-event,/event/1262,https://www.oxfordlieder.co.uk/event/1262
2021-10-08,15:30,03. Gurney's Gloucestershire,"Anna Cavaliero
Kate Kennedy
Natalie Burch","Ahead of the 5.45pm performance of To His Love, Kate Kennedy, author of the newly-published Dweller in Shadows: A Life of Ivor Gurney, delves into the profound influence of the Gloucestershire landscape on the poetry and music of Ivor Gurney, with live performances illustrating her talk given by soprano Anna Cavaliero and pianist Natalie Burch.
PRACTICAL INFORMATION
This event...",Jacqueline du Pré Music Building,General Admission,In-person only,0,8,0,study-event,/event/1262,https://www.oxfordlieder.co.uk/event/1262
2021-10-08,15:30,03. Gurney's Gloucestershire,"Anna Cavaliero
Kate Kennedy
Natalie Burch","Ahead of the 5.45pm performance of To His Love, Kate Kennedy, author of the newly-published Dweller in Shadows: A Life of Ivor Gurney, delves into the profound influence of the Gloucestershire landscape on the poetry and music of Ivor Gurney, with live performances illustrating her talk given by soprano Anna Cavaliero and pianist Natalie Burch.
PRACTICAL INFORMATION
This event...",Jacqueline du Pré Music Building,Online Streaming Access,Digital Concert Hall - Live stream only,1,3,0,study-event,/event/1262,https://www.oxfordlieder.co.uk/event/1262
2021-10-08,17:30,04. Summer Nights (first performance),"Julius Drake
Sarah Connolly
Gus Tredwell
Charles Cunliffe","All evening concerts this year are performed twice, at 5.30pm and 8.15pm. This 5.30pm performance will be in-person only. Please see Event 06 for information on the 8.15pm in-person and livestreamed performance.
Star of The Last Night of the Proms and the world’s great stages, Dame Sarah Connolly’s Festival appearances are always eagerly anticipated. With the celebrated pi...",Saint John the Evangelist,Seating Area A,In-person & Streaming (Digital Concert Hall),1,38,0,"early-evening
evening",/event/1263,https://www.oxfordlieder.co.uk/event/1263
2021-10-08,17:30,04. Summer Nights (first performance),"Julius Drake
Sarah Connolly
Gus Tredwell
Charles Cunliffe","All evening concerts this year are performed twice, at 5.30pm and 8.15pm. This 5.30pm performance will be in-person only. Please see Event 06 for information on the 8.15pm in-person and livestreamed performance.
Star of The Last Night of the Proms and the world’s great stages, Dame Sarah Connolly’s Festival appearances are always eagerly anticipated. With the celebrated pi...",Saint John the Evangelist,Seating Area A,In-person only,0,35,0,"early-evening
evening",/event/1263,https://www.oxfordlieder.co.uk/event/1263
2021-10-08,17:30,04. Summer Nights (first performance),"Julius Drake
Sarah Connolly
Gus Tredwell
Charles Cunliffe","All evening concerts this year are performed twice, at 5.30pm and 8.15pm. This 5.30pm performance will be in-person only. Please see Event 06 for information on the 8.15pm in-person and livestreamed performance.
Star of The Last Night of the Proms and the world’s great stages, Dame Sarah Connolly’s Festival appearances are always eagerly anticipated. With the celebrated pi...",Saint John the Evangelist,Seating Area B,In-person & Streaming (Digital Concert Hall),1,25,0,"early-evening
evening",/event/1263,https://www.oxfordlieder.co.uk/event/1263
2021-10-08,17:30,04. Summer Nights (first performance),"Julius Drake
Sarah Connolly
Gus Tredwell
Charles Cunliffe","All evening concerts this year are performed twice, at 5.30pm and 8.15pm. This 5.30pm performance will be in-person only. Please see Event 06 for information on the 8.15pm in-person and livestreamed performance.
Star of The Last Night of the Proms and the world’s great stages, Dame Sarah Connolly’s Festival appearances are always eagerly anticipated. With the celebrated pi...",Saint John the Evangelist,Seating Area B,In-person only,0,22,0,"early-evening
evening",/event/1263,https://www.oxfordlieder.co.uk/event/1263
2021-10-08,17:30,04. Summer Nights (first performance),"Julius Drake
Sarah Connolly
Gus Tredwell
Charles Cunliffe","All evening concerts this year are performed twice, at 5.30pm and 8.15pm. This 5.30pm performance will be in-person only. Please see Event 06 for information on the 8.15pm in-person and livestreamed performance.
Star of The Last Night of the Proms and the world’s great stages, Dame Sarah Connolly’s Festival appearances are always eagerly anticipated. With the celebrated pi...",Saint John the Evangelist,Seating Area C (live video view),In-person & Streaming (Digital Concert Hall),1,16,0,"early-evening
evening",/event/1263,https://www.oxfordlieder.co.uk/event/1263
